,winery,country,MTE: winery
174,Ca' Marcanda,Italy,120.25
175,Seconda Stella a Destra,Italy,120.0
176,Château Raymond-Lafon,France,120.0
177,Noon,Australia,120.0
178,Linked,US,120.0
179,Kathryn Kennedy,US,120.0
180,Quintessa,US,120.0
181,Château Certan de May de Certan,France,120.0
182,Louis Roederer,France,118.71698113207547
183,Lucien Le Moine,France,118.4090909090909
184,Tua Rita,Italy,118.06451612903227
185,Marita's Vineyard,US,118.0
186,Tobacco Road,US,118.0
187,Mirafiore,Italy,117.5
188,Château Moulin de la Rose,France,117.5
189,Château Léoville Poyferré,France,117.5
190,Roy Estate,US,117.5
191,Oakville East,US,116.5
192,Philipponnat,France,116.10714285714286
193,Gypsy Canyon,US,116.0
194,Michel & Stéphane Ogier,France,115.83333333333331
195,Vice Versa,US,115.0
196,Thirteen,US,115.0
197,Hewitt,US,115.0
198,Remoissenet Père et Fils,France,114.5
199,Dominus,US,114.33333333333331
200,Le Carré,France,114.16666666666669
201,Borgogno,Italy,114.0
202,Weingut Weber,Germany,112.6
203,Hickinbotham,Australia,112.5
204,Château Beausejour-Duffau-Lagarrosse,France,112.5
205,L'Arbossar,Spain,112.0
206,Giovanni Chiappini,Italy,112.0
207,Celani Family Vineyards,US,111.66666666666669
208,Mount Mary,Australia,111.58333333333331
209,Marchesi Antinori,Italy,111.1818181818182
210,Zymè,Italy,111.125
211,Alfred Gratien,France,111.0
212,Château Canon,France,110.75
213,Wayfarer,US,110.45454545454544
214,Domaine Faiveley,France,110.26829268292684
215,Gran Veigadares,Spain,110.0
216,Château la Tour Blanche,France,110.0
217,Château Ducru Beaucaillou,France,110.0
218,Château Sigalas Rabaud,France,110.0
219,Tanner DaFoe,US,110.0
220,Château Canon la Gaffelière,France,110.0
221,Stone The Crows,US,110.0
222,Château Latour à Pomerol,France,110.0
223,Bodega Chacra,Argentina,109.84615384615385
224,Caymus,US,108.8
225,Marc Sorrel,France,108.75
226,The Maiden,US,108.75
227,Gravner,Italy,108.75
228,Henriot,France,108.5909090909091
229,Artadi,Spain,108.5625
230,Viñedos de Paganos,Spain,108.29629629629628
231,El Sombrero,Mexico,108.0
232,Paul Hobbs,US,107.69565217391305
233,Shah Estate,US,107.5
234,Tenuta San Guido,Italy,107.27272727272728
235,Jonata,US,106.25
236,Louis Jadot,France,105.21818181818182
237,Andrew Hardy,Australia,105.0
238,Aalto,Spain,105.0
239,Barossa Old Vine Company,Australia,105.0
240,Branson Coach House,Australia,105.0
241,Salicutti,Italy,105.0
242,Emidio Pepe,Italy,105.0
243,Notre Vin,US,104.9
244,Domaine Rossignol-Trapet,France,104.83333333333331
245,Teso La Monja,Spain,104.8181818181818
246,Finca Allende,Spain,104.76666666666668
247,Far Niente,US,104.4
248,Château Haut-Bailly,France,104.33333333333331
249,Dancing Hares,US,104.0
250,Azari,US,103.33333333333331
251,"Bodegas Toro Albala, SL",Spain,103.33333333333331
