,winery,country,MTE: winery
1613,Cadre,US,51.66666666666666
1614,Tres Vinicultores,US,51.66666666666666
1615,Agostina Pieri,Italy,51.66666666666666
1616,Château Laroque,France,51.66666666666666
1617,Tassi,Italy,51.63636363636363
1618,Fisher,US,51.6
1619,Clunia,Spain,51.6
1620,Swanson,US,51.56818181818182
1621,Grasso,US,51.5
1622,Trombetta,US,51.5
1623,Tamber Bey,US,51.5
1624,Ten Acre,US,51.5
1625,Domus Aurea,Chile,51.46666666666667
1626,Palmeri,US,51.41666666666666
1627,Rudi Pichler,Austria,51.375
1628,Brancaia,Italy,51.36363636363637
1629,Cennatoio,Italy,51.33333333333334
1630,Domaine du Pegau,France,51.33333333333334
1631,Merry Edwards,US,51.264705882352935
1632,Chiarello Family Vineyards,US,51.25
1633,Michel Gros,France,51.25
1634,Errazuriz,Chile,51.24324324324325
1635,Pannier,France,51.22222222222222
1636,Wiese & Krohn,Portugal,51.21052631578947
1637,Domaine Ferret,France,51.16666666666666
1638,Cantina di Montalcino,Italy,51.14285714285714
1639,Lynmar,US,51.055555555555564
1640,Paloma,US,51.0
1641,Shadowbox,US,51.0
1642,Château Rauzan-Gassies,France,51.0
1643,Heart O' The Mountain,US,51.0
1644,Château Tour Robert,France,51.0
1645,Mario Perelli-Minetti,US,51.0
1646,Terre del Marchesato,Italy,51.0
1647,Cairdean Estate,US,51.0
1648,Conn Valley,US,51.0
1649,Malabaila,Italy,51.0
1650,Maroon,US,51.0
1651,San Felice,Italy,51.0
1652,Saffron Fields Vineyard,US,51.0
1653,Emineo,South Africa,51.0
1654,Castello di Montepò,Italy,51.0
1655,Grieve,US,51.0
1656,Lewis,US,51.0
1657,Produttori del Barbaresco,Italy,50.92857142857143
1658,Faust,US,50.90909090909091
1659,Ehlers Estate,US,50.9
1660,Betz Family,US,50.89090909090909
1661,Tenimenti Angelini,Italy,50.8695652173913
1662,Carneros della Notte,US,50.85714285714285
1663,Steven Kent,US,50.85454545454545
1664,Whetstone,US,50.83333333333334
1665,Máté,Italy,50.82352941176471
1666,Sandrone,Italy,50.8125
1667,MacPhail,US,50.8
1668,Château Brown,France,50.75
1669,Domaine Font de Michelle,France,50.75
1670,W.H. Smith,US,50.72
1671,Château Cantenac Brown,France,50.714285714285715
1672,Perception,US,50.714285714285715
1673,Allegrini,Italy,50.714285714285715
1674,Albert Bichot,France,50.67741935483871
1675,La Velona,Italy,50.66666666666666
1676,La Collina dei Ciliegi,Italy,50.66666666666666
1677,Venge,US,50.647058823529406
1678,Grans-Fassian,Germany,50.631578947368425
1679,The Calling,US,50.57142857142857
1680,Fattoi,Italy,50.54545454545455
1681,Alloro,US,50.54545454545455
1682,Sunbox Eleven,US,50.5
1683,Paradigm,US,50.5
1684,Quinta da Muradella,Spain,50.5
1685,Snowden,US,50.5
1686,Lloyd of Calcareous,US,50.5
1687,Domaine de l'A,France,50.5
1688,Chartron et Trébuchet,France,50.5
1689,Elan,US,50.4
1690,Charles Krug,US,50.397260273972606
1691,Silenus,US,50.33333333333334
1692,Black Kite,US,50.30434782608695
1693,Ken Wright,US,50.267326732673276
1694,Keever,US,50.25
1695,De Ponte Cellars,US,50.25
1696,Casa di Terra,Italy,50.25
1697,Domaine Courbis,France,50.23809523809525
1698,Château du Cèdre,France,50.20512820512821
1699,Tenuta Argentiera,Italy,50.2
1700,Boudreaux Cellars,US,50.2
1701,Poggio al Tesoro,Italy,50.185185185185176
1702,Jericho Canyon Vineyard,US,50.16666666666666
1703,Jacob Franklin,US,50.16666666666666
1704,Domaine Gresser,France,50.111111111111114
1705,Scarzello,Italy,50.07692307692307
1706,Tenuta Vitanza,Italy,50.03448275862069
1707,Château La Fortine,France,50.0
1708,Clendenen,US,50.0
1709,Pago de Callejo,Spain,50.0
1710,Ardor,US,50.0
1711,Kings Mountain,US,50.0
1712,Fontanabianca,Italy,50.0
1713,Lichen Estate,US,50.0
1714,Calluna,US,50.0
1715,DeLucia Vineyards,Italy,50.0
1716,Cameron,US,50.0
1717,Tenuta Chiccheri,Italy,50.0
1718,Hard Six Cellars,US,50.0
1719,Grand Rêve,US,50.0
1720,Fratelli Seghesio,Italy,50.0
1721,Clawson Creek,US,50.0
1722,Quinta Sardonia,Spain,50.0
1723,Terroir Coquerel,US,50.0
1724,Valduero,Spain,50.0
1725,50 Harvests,US,50.0
1726,Foradori,Italy,50.0
1727,Barbi,Italy,50.0
1728,La Rusticana d'Orsa,US,50.0
1729,Jean-Noël Haton,France,50.0
1730,esedos,Spain,50.0
1731,Terra Rossa,Italy,50.0
1732,Terra Jovia,Italy,50.0
1733,Used Automobile Parts,US,50.0
1734,Mike Ditka,US,50.0
1735,Grand Napa,US,50.0
1736,Madonna Nera,Italy,50.0
1737,La Torricella,Italy,50.0
1738,Gofessel,US,50.0
1739,Castello di Selvole,Italy,50.0
1740,Native Sun,US,50.0
1741,Kamen Estate,US,50.0
1742,Château Vieux Ferrand,France,50.0
1743,Hawkes,US,50.0
1744,Carden,US,50.0
1745,Magnitude,US,50.0
1746,Lewelling,US,50.0
1747,Juliet,US,50.0
1748,Enos Vineyard,US,50.0
1749,De Venoge,France,50.0
1750,Forward Kidd,US,50.0
1751,Vini Italiani da Sogno,Italy,50.0
1752,Donna Olga,Italy,50.0
1753,Château les Vimières,France,50.0
1754,Sol Duc,US,50.0
1755,Cheval Sauvage,US,50.0
1756,Ager Falernus,Italy,50.0
1757,Podere Monastero,Italy,50.0
1758,La Ferme des Sept Lunes,France,50.0
1759,Domaine Roger Belland,France,50.0
1760,Chester Kidder,US,50.0
1761,Podere L'Aione,Italy,50.0
1762,Crossbarn Paul Hobbs,US,50.0
1763,Rodolfo Cosimi,Italy,50.0
1764,Westbend Vineyards,US,50.0
1765,John's Blend,Australia,50.0
1766,Château Graves de Pez,France,50.0
1767,San Patrignano,Italy,50.0
1768,Borgo Pretale,Italy,50.0
1769,Chartogne-Taillet,France,50.0
1770,Stillman Brown,US,50.0
1771,Anemoi,US,50.0
1772,Rijk's,South Africa,50.0
1773,Expression 44°,US,50.0
1774,La Montecchia,Italy,50.0
1775,Mas d'en Gil,Spain,50.0
1776,Manookian,US,50.0
1777,Hunt & Ryde,US,50.0
1778,Château Arnaud,France,50.0
1779,Château Rieussec,France,50.0
1780,Château Castelbruck,France,50.0
1781,Château Clauzet,France,50.0
1782,Binomio,Italy,50.0
1783,Kazmer & Blaise,US,50.0
1784,Clos LaChance,US,50.0
1785,Resalte,Spain,50.0
1786,Black Bart's Bride,US,50.0
1787,Alois,Italy,50.0
1788,Poonawatta Estate,Australia,50.0
1789,Toil Oregon,US,50.0
1790,I Sodi,Italy,50.0
1791,Château de Beauregard,France,50.0
1792,Maple Lane,US,50.0
1793,Ruston,US,50.0
1794,Altamira,Argentina,50.0
1795,Fattoria Terre del Marchesato,Italy,50.0
1796,Brown Estate,US,50.0
1797,Olivero,Italy,50.0
1798,Château Woltner,US,50.0
1799,Cayu,Argentina,50.0
1800,Pier,Italy,50.0
1801,Bomb,US,50.0
1802,Maso Martis,Italy,50.0
1803,Deux C,US-France,50.0
1804,Masseria Felicia,Italy,50.0
1805,Villa Mari,US,50.0
1806,Prodigal,US,50.0
1807,Château Kirwan,France,50.0
1808,Salcis,Spain,50.0
1809,Domaine de Trevallon,France,50.0
1810,Château Haut Gravet,France,50.0
1811,La Pieve,Italy,50.0
1812,Celler Bartolomé,Spain,50.0
1813,Piaggia,Italy,50.0
1814,Robert Biale,US,49.92857142857143
1815,Altaïr,Chile,49.88888888888889
1816,Herdade da Malhadinha Nova,Portugal,49.878048780487795
1817,Pietro Rinaldi,Italy,49.875
1818,Coho,US,49.85714285714285
1819,Adams Bench,US,49.8125
1820,Château Potelle,US,49.8
1821,Damilano,Italy,49.68965517241379
1822,Hunter III,US,49.66666666666666
1823,Barden,US,49.66666666666666
1824,Bella Victorian Vineyard,US,49.66666666666666
1825,Emblem,US,49.64285714285714
1826,Martinelli,US,49.6
1827,Grassini,US,49.6
1828,Martinelli,Italy,49.6
1829,Jamie Slone Wines,US,49.57142857142857
1830,Louis M. Martini,US,49.55737704918032
1831,Six Degrees,US,49.5
1832,Barale Fratelli,Italy,49.5
1833,Château Malartic-Lagravière,France,49.5
1834,Abel Mendoza,Spain,49.5
1835,Napa Redwoods Estate,US,49.5
1836,Charnu,US,49.5
1837,Poggiotondo,Italy,49.5
1838,Balbas,Spain,49.5
1839,Groth,US,49.464285714285715
1840,Halleck,US,49.42307692307693
1841,Domaine Jo Pithon,France,49.4
1842,Castello Banfi,Italy,49.38356164383562
1843,Clos Pepe,US,49.375
1844,Tres Sabores,US,49.346153846153854
1845,Piedra Hill,US,49.33333333333334
1846,Tabarrini,Italy,49.33333333333334
1847,5 Points Cellars,US,49.33333333333334
1848,Marchesi di Barolo,Italy,49.33333333333334
1849,Reif Estate,Canada,49.25
1850,Keating,US,49.25
1851,Pegaso,Spain,49.25
1852,Whitehall Lane,US,49.23684210526316
1853,Disznókö,Hungary,49.235294117647065
1854,Storybook Mountain,US,49.230769230769226
1855,Johannishof,Germany,49.21621621621622
1856,Biondi,Italy,49.16666666666666
1857,Royal Oporto,Portugal,49.16666666666666
1858,Domaine Vincent Dauvissat,France,49.14285714285714
1859,Matanzas Creek,US,49.1063829787234
1860,Roco,US,49.047619047619044
1861,Robert Young,US,49.047619047619044
1862,Domaine Vrignaud,France,49.03846153846154
1863,Kasuari,US,49.0
1864,Valquejigoso,Spain,49.0
1865,Hensley,US,49.0
1866,Domaine Anderson,US,49.0
1867,Moutard Père et Fils,France,49.0
1868,Massi di Mandorlaia,Italy,49.0
1869,32 Winds,US,49.0
1870,Napa Valley Cattle Company,US,49.0
1871,Domaine Jean Monnier et Fils,France,49.0
1872,Cult X,US,49.0
1873,Il Cancelliere,Italy,49.0
1874,Bodegas El Por Venir de los Andes,Argentina,49.0
1875,Domaine FL,France,49.0
1876,William Grassie,US,49.0
1877,Summit Lake,US,49.0
1878,Escalera,Chile,49.0
1879,Domingo Hermanos,Argentina,49.0
1880,Solomon Hills,US,49.0
1881,Honor Winery,US,49.0
1882,Ferro Family Wines,US,49.0
1883,Torlasco,Italy,49.0
1884,Kanzler,US,49.0
1885,Quinta do Filoco,Portugal,49.0
1886,Davies,US,49.0
1887,Inspiri,US,49.0
1888,Innocenti,Italy,49.0
1889,Cloak & Dagger,US,49.0
1890,Château Plince,France,49.0
1891,Speri,Italy,48.9375
1892,Marques de Griñon,Spain,48.92
1893,Verbena,Italy,48.90909090909091
1894,Hunt Cellars,US,48.83333333333334
1895,Tenuta Villa Trasqua,Italy,48.82352941176471
1896,6 North,US,48.8
1897,Château Bellegrave du Poujeau,France,48.8
1898,Quivet Cellars,US,48.8
1899,Viñedo de los Vientos,Uruguay,48.75
1900,Pago de Larrainzar,Spain,48.75
1901,Château Maris,France,48.73333333333333
1902,Terra Valentine,US,48.72
1903,San Giusto a Rentennano,Italy,48.714285714285715
1904,Negretti,Italy,48.714285714285715
1905,Isole e Olena,Italy,48.7
1906,Testarossa,US,48.6021897810219
1907,Taylor,US,48.6
1908,Seppeltsfield,Australia,48.57142857142857
1909,Porter Family Vineyards,US,48.555555555555564
1910,Château Batailley,France,48.5
1911,Château La Bastienne,France,48.5
1912,Fattoria di Corsignano,Italy,48.5
1913,Scar of the Sea,US,48.5
1914,Hill Family Estate,US,48.5
1915,Familia Deicas,Uruguay,48.5
1916,Faiveley,France,48.46938775510204
1917,S.A. Prüm,Germany,48.46666666666667
1918,Cabreo,Italy,48.4
1919,Benovia,US,48.36
1920,Turley,US,48.35714285714285
1921,Crápula,Spain,48.33333333333334
1922,Castello di Bossi,Italy,48.31818181818182
1923,Freemark Abbey,US,48.295081967213115
1924,Trout Street,US,48.28571428571429
1925,Cascina Luisin,Italy,48.27272727272727
1926,Brigaldara,Italy,48.25
1927,Abbadia Ardenga,Italy,48.2
1928,Le Cadeau,US,48.16666666666666
1929,Patricia Green Cellars,US,48.14285714285714
1930,Dunham,US,48.12903225806453
1931,Bouchard Aîné & Fils,France,48.09230769230769
1932,JCB,US,48.07692307692307
1933,JCB,France,48.07692307692307
1934,Louis Max,France,48.055555555555564
1935,Zandvliet,South Africa,48.0
1936,Grimm's Bluff,US,48.0
1937,Leonhardt,US,48.0
1938,Château la Patache,France,48.0
1939,Quintet,US,48.0
1940,1789 Wines,US,48.0
1941,Zotovich Cellars,US,48.0
1942,Double Bond,US,48.0
1943,Hagen Heights,US,48.0
1944,Double Canyon,US,48.0
1945,Château Tourans,France,48.0
1946,Amador Garcia,Spain,48.0
1947,Prospect 1870,South Africa,48.0
1948,Dominio IV,US,48.0
1949,Malvolio,US,48.0
1950,A.P. Vin,US,48.0
1951,Cecilia Beretta,Italy,48.0
1952,Clos Pons,Spain,48.0
1953,Baby Bear,US,48.0
1954,hope & grace,US,48.0
1955,William Hatcher,US,48.0
1956,Penché,US,48.0
1957,La Diligence,US,48.0
1958,Pecunia,Spain,48.0
1959,Tor,US,48.0
1960,Franco Molino Cascina Rocca,Italy,48.0
1961,Morlanda,Spain,48.0
1962,Eleanor,US,48.0
1963,Ensemble Cellars,US,48.0
1964,Kelley Fox,US,48.0
1965,Tenute Galtarossa,Italy,48.0
1966,Trathen Hall,US,48.0
1967,Baricci,Italy,48.0
1968,Verismo,US,48.0
1969,Gottardi,Italy,48.0
1970,Monteci,Italy,47.91666666666666
1971,Sokol Blosser,US,47.904761904761905
1972,Howell Mountain Vineyards,US,47.9
1973,La Mannella,Italy,47.86666666666667
1974,Cesari,Italy,47.864864864864856
1975,Kollwentz,Austria,47.85714285714285
1976,Fonseca,Portugal,47.84
1977,Neal Family,US,47.83333333333334
1978,Churchill's,Portugal,47.80952380952381
1979,Viszlay Vineyards,US,47.8
1980,Beaumont des Crayères,France,47.8
1981,Chateau Rollat,US,47.8
1982,Vite Colte,Italy,47.77777777777778
1983,Lachini,US,47.764705882352935
1984,Kalaris,US,47.75
1985,Conterno Fantino,Italy,47.73913043478261
1986,Stephanie,US,47.72727272727273
1987,Caprili,Italy,47.72727272727273
1988,HammerSky,US,47.7
1989,Pedro Romero,Spain,47.66666666666666
1990,Modus Operandi,US,47.66666666666666
1991,Virna Borgogno,Italy,47.66666666666666
1992,Quinta dos Murças,Portugal,47.66666666666666
1993,Masciarelli,Italy,47.65116279069768
1994,Les Vins de Vienne,France,47.647058823529406
1995,Keller,US,47.625
1996,Keller,Germany,47.625
1997,Château Bellerose Figeac,France,47.6
1998,Amici,US,47.57692307692307
1999,A.S. Kiken,US,47.57142857142857
2000,Jada Vineyard & Winery,US,47.57142857142857
2001,Campillo,Spain,47.555555555555564
2002,Domaine Huguenot,France,47.5
2003,Montecariano,Italy,47.5
2004,Bazelet HaGolan,Israel,47.5
2005,Domaine François Villard,France,47.5
2006,De Sante,US,47.5
2007,Domaine de la Bégude,France,47.5
2008,Condado de Haza,Spain,47.5
2009,Roar,US,47.5
2010,Chevalier de Gruaud,France,47.5
2011,Loma Prieta,US,47.5
2012,Summerwood,US,47.5
2013,Jettlynn,US,47.5
2014,Alysian,US,47.5
2015,Viña San Vicente,Chile,47.5
2016,Vigin,Italy,47.5
2017,Le Marognole,Italy,47.5
2018,Masút,US,47.5
2019,Tenet,US,47.5
2020,Château Cantin,France,47.5
2021,La Universal,Spain,47.5
2022,Marziano Abbona,Italy,47.5
2023,Tardieu-Laurent,France,47.45454545454545
2024,Loring Wine Company,US,47.44642857142857
2025,Mazzei,Italy,47.38333333333333
2026,Heintz,US,47.375
2027,Château de Chamirey,France,47.36363636363637
2028,Vincent Couche,France,47.33333333333334
2029,Bryter,US,47.33333333333334
2030,Alma Fria,US,47.33333333333334
2031,Belpoggio,Italy,47.33333333333334
2032,Nicolis,Italy,47.31578947368421
2033,Rutherford Grove,US,47.28571428571429
2034,Mountford,New Zealand,47.28571428571429
2035,Charles Lafitte,France,47.28571428571429
2036,Ascension Cellars,US,47.28571428571429
2037,Cobblestone,New Zealand,47.27272727272727
2038,Cobblestone,US,47.27272727272727
2039,Skyhawk Lane,US,47.2
2040,Gancedo,Spain,47.18181818181818
2041,Copain Wines,US,47.16666666666666
2042,Andrew Will,US,47.15942028985507
2043,Domaine Jean-Paul et Benoît Droin,France,47.14285714285714
2044,George IV,US,47.14285714285714
2045,Caliza,US,47.13333333333333
2046,Hirsch,US,47.125
2047,Hirsch,Austria,47.125
2048,Collelceto,Italy,47.125
2049,Antolini,Italy,47.125
2050,Castello d'Albola,Italy,47.1
2051,Coniglio,US,47.064516129032256
2052,Roadhouse Winery,US,47.0625
2053,Castello di Querceto,Italy,47.05
2054,La Gerla,Italy,47.04347826086956
2055,Petroni,US,47.0
2056,Tenuta I Greppi,Italy,47.0
2057,Sutro,US,47.0
2058,The Willows,Australia,47.0
2059,White Rose,US,47.0
2060,Denis Jeandeau,France,47.0
2061,Katlav,Israel,47.0
2062,Tenimenti Famiglia Cavallero,Italy,47.0
2063,Domaine Machard de Gramont,France,47.0
2064,Costanza Malfatti,Italy,47.0
2065,LXV,US,47.0
2066,Lanari,Italy,47.0
2067,Pacific Ridge,US,47.0
2068,Lunar Wines,Australia,47.0
2069,VinStrata,US,47.0
2070,Tenuta di Valgiano,Italy,47.0
2071,Château de la Roche-Aux-Moines,France,47.0
2072,Fonterenza,Italy,47.0
2073,Mauro Franchino,Italy,47.0
2074,Cave de Turckheim,France,47.0
2075,Ugo Lequio,Italy,47.0
2076,Provenance Vineyards,US,46.88888888888889
2077,Round Pond,US,46.88
2078,Antiyal,Chile,46.88
2079,Brittan Vineyards,US,46.875
2080,Calicaro,US,46.81818181818182
2081,Glaetzer,Australia,46.77777777777778
2082,Darms Lane,US,46.75
2083,Domaine du Prince,France,46.75
2084,Prieler,Austria,46.75
2085,Château Belgrave,France,46.75
2086,Domdechant Werner,Germany,46.7457627118644
2087,Henri de Villamont,France,46.73913043478261
2088,Yabby Lake Vineyard,Australia,46.714285714285715
2089,Cascina Val del Prete,Italy,46.66666666666666
2090,Foundry,US,46.66666666666666
2091,Dutch Henry Winery,US,46.66666666666666
2092,Azalea Springs,US,46.66666666666666
2093,Remelluri,Spain,46.66666666666666
2094,Genius Wines,US,46.66666666666666
2095,Château de Reynaud,France,46.66666666666666
2096,Robert John,US,46.66666666666666
2097,Reynvaan Family Vineyards,US,46.66666666666666
2098,Boheme,US,46.66666666666666
2099,Veedercrest,US,46.66666666666666
2100,Frank Cornelissen,Italy,46.615384615384606
2101,E16,US,46.6
2102,Château Brane-Cantenac,France,46.6
2103,El Molino,US,46.53846153846154
2104,Ferrari,Italy,46.52777777777778
2105,Château Lafon-Rochet,France,46.5
2106,Giovanni Rosso,Italy,46.5
2107,Trossos del Priorat,Spain,46.5
2108,Domaine Gerovassiliou,Greece,46.47619047619048
2109,Scott Paul,US,46.47619047619048
2110,Papapietro Perry,US,46.46153846153846
2111,Cade,US,46.46153846153846
2112,Tantara,US,46.43333333333333
2113,Monte De Oro,US,46.42857142857143
2114,Albino Rocca,Italy,46.4
2115,Côtes de Ciel,US,46.4
2116,Brunelli,Italy,46.38888888888889
2117,Gary Farrell,US,46.3768115942029
2118,Guicciardini Strozzi,Italy,46.35714285714285
2119,Patricius,Hungary,46.33333333333334
2120,Il Roncal,Italy,46.33333333333334
2121,Justin,US,46.32692307692307
2122,J. Bookwalter,US,46.3
2123,Spring Valley Vineyard,US,46.280701754385966
2124,W. & J. Graham's,Portugal,46.26666666666666
2125,Pepper Tree,Australia,46.25
2126,Viña el Principal,Chile,46.25
2127,Castello di Verrazzano,Italy,46.25
2128,Maldonado,US,46.25
2129,Hugel,France,46.25
2130,Judd's Hill,US,46.23809523809525
2131,Sbragia,US,46.228571428571435
2132,Cru Vin Dogs,US,46.22222222222222
2133,Tenuta di Nozzole,Italy,46.22222222222222
2134,Ernst Triebaumer,Austria,46.18181818181818
2135,Lenné Estate,US,46.18181818181818
2136,Twomey,US,46.14285714285714
2137,Collavini,Italy,46.125
2138,Daniel Barraud,France,46.0
2139,Sawyer Cellars,US,46.0
2140,Traslanzas,Spain,46.0
2141,Château la Bassonnerie,France,46.0
2142,Gremillet,France,46.0
2143,Enticer,US,46.0
2144,Artemayor,Spain,46.0
2145,Sonkin Cellars,US,46.0
2146,Freeman,US,46.0
2147,El Lugar,US,46.0
2148,Firefly Night,US,46.0
2149,La Collina dei Lecci,Italy,46.0
2150,Terre Nere,Italy,46.0
2151,Robert Sinskey,US,46.0
2152,Aventino,Spain,46.0
2153,Burbank Ranch,US,46.0
2154,Pisano Arretxea,Uruguay,46.0
2155,Barbieri,US,46.0
2156,Amicus by X Winery,US,46.0
2157,Tenute del Cerro,Italy,46.0
2158,Three Brothers,US,46.0
2159,Prior Pons,Spain,46.0
2160,Vincent Sauvestre,France,46.0
2161,Tenimenti Ricci,Italy,46.0
2162,Tringali Casanuova,Italy,46.0
2163,Piedrasassi,US,46.0
2164,Pacific Coast,US,46.0
2165,Trediberri,Italy,46.0
2166,Corte Rugolin,Italy,46.0
2167,Sunstone,US,45.97619047619048
2168,Bründlmayer,Austria,45.95121951219512
2169,Spotted Owl,US,45.875
2170,Adelsheim,US,45.86915887850467
2171,K Vintners,US,45.864077669902905
2172,Stryker Sonoma,US,45.83333333333334
2173,Black Stallion,US,45.83333333333334
2174,Owen Roe,US,45.80769230769231
2175,Brookdale Vineyards,US,45.77777777777778
2176,Mission Hill,Canada,45.77777777777778
2177,Labouré-Roi,France,45.770270270270274
2178,San Cassiano,Italy,45.75
2179,Counter Punch,US,45.75
2180,Lelarge-Pugeot,France,45.75
2181,Failla,US,45.7319587628866
2182,Pictor,Spain,45.66666666666666
2183,Rubinelli Vajol,Italy,45.66666666666666
2184,Trinity Hill,New Zealand,45.61904761904761
2185,Domaine Carneros,US,45.61702127659574
2186,Tero Estates,US,45.58823529411765
2187,Croft,Portugal,45.58333333333334
2188,Yates Family Vineyard,US,45.58064516129032
2189,Yllera,Spain,45.57142857142857
2190,Portal del Priorat,Spain,45.57142857142857
2191,San Sakana,US,45.5
2192,Nativ,Italy,45.5
2193,Pierre André,France,45.5
2194,Château la Louvière,France,45.5
2195,Duijn,Germany,45.5
2196,Stephen & Walker,US,45.48275862068966
2197,Quinta do Vale Meão,Portugal,45.481481481481474
2198,Krutz,US,45.45454545454545
2199,Domaine Vincent Paris,France,45.4
2200,Domaine Huët,France,45.36363636363637
2201,Lucienne,US,45.36363636363637
2202,Robert James Lynch,US,45.33333333333334
2203,Michael James Wines,US,45.33333333333334
2204,Elderton,Australia,45.31578947368421
2205,Château des Annereaux,France,45.25
2206,Penns Woods,US,45.25
2207,Ponzi,US,45.2027027027027
2208,Porto Carras,Greece,45.2
2209,Château Lagrange,France,45.2
2210,Denner,US,45.2
2211,Liquid Farm,US,45.2
2212,Olivi,Italy,45.16666666666666
2213,Giacosa Fratelli,Italy,45.153846153846146
2214,Waits-Mast,US,45.153846153846146
2215,Cascina Morassino,Italy,45.14285714285714
2216,Domaine Ostertag,France,45.115384615384606
2217,Dr. Pauly Bergweiler,Germany,45.10843373493976
2218,Adastra,US,45.07692307692307
2219,Losi Querciavalle,Italy,45.0
2220,Hiedler,Austria,45.0
2221,Clos du Marquis,France,45.0
2222,Giulia Negri,Italy,45.0
2223,Château de Bligny,France,45.0
2224,La Palazzetta,Italy,45.0
2225,Castillo de Cuzcurrita,Spain,45.0
2226,Aril,US,45.0
2227,Château Bourgneuf,France,45.0
2228,Ormanni,Italy,45.0
2229,Hilltop Neszmély,Hungary,45.0
2230,San Filippo,Italy,45.0
2231,Sorcellerie,US,45.0
2232,Cellars 33,US,45.0
2233,St. Clement,US,45.0
2234,Sunfire,US,45.0
2235,Kelham,US,45.0
2236,Château Rocher-Bonregard,France,45.0
2237,Château Balac,France,45.0
2238,Beccarello,Italy,45.0
2239,Lechère,France,45.0
2240,Poggiarellino,Italy,45.0
2241,Peter McCoy,US,45.0
2242,Chase,US,45.0
2243,Gershon Bachus,US,45.0
2244,Ardente,US,45.0
2245,Calix,US,45.0
2246,Montefiore,Israel,45.0
2247,Tiedemann,US,45.0
2248,Ressia,Italy,45.0
2249,Le Grix de la Salle,France,45.0
2250,AmByth,US,45.0
2251,Pingón,Spain,45.0
2252,Chardenet,US,45.0
2253,Fanucchi,US,45.0
2254,Château Berliquet,France,45.0
2255,Tenuta di Serramarrocco,Italy,45.0
2256,Tiger Lily,US,45.0
2257,Co Dinn,US,45.0
2258,Kivelstadt Cellars,US,45.0
2259,Pax,US,45.0
2260,Tenuta Rocca,Italy,45.0
2261,Vineyard 1869,US,45.0
2262,Levendi,US,45.0
2263,Señorío de Andión,Spain,45.0
2264,Codorníu Napa,US,45.0
2265,Château Labégorce Margaux,France,45.0
2266,Deovlet,US,45.0
2267,Dreolino,Italy,45.0
2268,Terre del Principe,Italy,45.0
2269,Provincial Vineyards,US,45.0
2270,Shining Hill,US,45.0
2271,Conde de la Salceda,Spain,45.0
2272,Affaire de Coeur,US,45.0
2273,Frisson Wines,US,45.0
2274,Tenuta Alzatura,Italy,45.0
2275,Ferragú Ornello,Italy,45.0
2276,Agly Brothers,France,45.0
2277,Prieuré St. Jean de Bébian,France,45.0
2278,Château Hannetot,France,45.0
2279,Gabriele Scaglione,Italy,45.0
2280,Borgogno F.lli Serio e Battista,Italy,45.0
2281,Korbin Kameron,US,45.0
2282,Les Vignes d'Alexandre,France,45.0
2283,Aje,US,45.0
2284,Château Frédignac,France,45.0
2285,Travaglini,Italy,45.0
2286,Saggi,US,45.0
2287,Johann Schwarz,Austria,45.0
2288,Lawrelin,US,45.0
2289,Château Martet,France,45.0
2290,Scott Aaron,US,45.0
2291,Dalwhinnie,Australia,45.0
2292,Gridley,US,45.0
2293,El Enemigo,Argentina,45.0
2294,Élevée Winegrowers,US,45.0
2295,Château Moulin de Canhaut,France,45.0
2296,Echo Ridge,US,45.0
2297,Francisco Nunes Garcia,Portugal,45.0
2298,Château Tronquoy-Lalande,France,45.0
2299,Vinyes del Terrer,Spain,45.0
2300,Bodegas Imperiales,Spain,45.0
2301,Tenuta dei Pianali,Italy,45.0
2302,Unum,US,45.0
2303,Cima,Italy,45.0
2304,Carlo Giacosa,Italy,45.0
2305,Schweiger,US,45.0
2306,Puro Uno,Argentina,45.0
2307,De Saint Gall,France,45.0
2308,Le Rose,Italy,45.0
2309,Fountainhead,US,45.0
2310,S. Anderson,US,45.0
2311,Linne Calodo,US,45.0
2312,Pura Vida,US,45.0
2313,Reign,US,45.0
2314,Fornacelle,Italy,45.0
2315,Mullan Road,US,45.0
2316,Knudsen,US,45.0
2317,Principe Corsini,Italy,45.0
2318,Château les Grands Chênes,France,45.0
2319,Galerie,US,45.0
2320,Sleeping Giant,US,45.0
2321,Witching Stick,US,45.0
2322,Chanamé,US,45.0
2323,Château Doisy-Védrines,France,45.0
2324,Hayward by Folin Cellars,US,45.0
2325,Hattingley Valley Wines,England,45.0
2326,Castalia,US,45.0
2327,Imagine,US,45.0
2328,Manzone Fratelli,Italy,45.0
2329,Château Doyac,France,45.0
2330,Sirius,US,45.0
2331,Branchini,Italy,45.0
2332,Domaine Georg Rafael Vineyards,US,45.0
2333,Miracle Hill,US,45.0
2334,Domaine Clos Salomon,France,45.0
2335,Clos Berenguer del Molar,Spain,45.0
2336,Château de Saint-Cosme,France,45.0
2337,Cougar Crest,US,45.0
2338,Thomas Fogarty,US,44.92561983471073
2339,Agostino Bosco,Italy,44.92307692307693
2340,Woodward Canyon,US,44.901639344262286
2341,Hyland,US,44.88888888888889
2342,Va Piano,US,44.884615384615394
2343,Parsonage Village,US,44.8
2344,Pietradolce,Italy,44.8
2345,Kilikanoon,Australia,44.8
2346,Tommaso Bussola,Italy,44.8
2347,Big Basin,US,44.77777777777778
2348,Chronicle,US,44.75
2349,Pulchella,US,44.75
