,region_1,country,MTE: region_1
155,Barbera d'Asti Superiore Nizza,Italy,46.33333333333334
156,Mt. Harlan,US,46.3265306122449
157,Paso Robles Willow Creek District,US,46.26666666666666
158,Northern Sonoma,US,46.115384615384606
159,Saint-Romain,France,46.0
160,La Consulta,Argentina,45.97368421052632
161,Temecula Valley,US,45.97101449275362
162,Barossa Valley,Australia,45.88297872340426
163,Calistoga,US,45.8170731707317
164,Roccamonfina,Italy,45.8
165,Sonoma Coast,US,45.53564154786151
166,Savigny-lès-Beaune,France,45.46478873239437
167,Vin Santo del Chianti Rufina,Italy,45.33333333333334
168,Colli della Toscana Centrale,Italy,45.29213483146068
169,Nagambie Lakes,Australia,45.148148148148145
170,Chaume,France,45.0
171,Les Baux de Provence,France,45.0
172,Rosso del Salento,Italy,45.0
173,Arribes del Duero,Spain,45.0
174,Ribbon Ridge,US,44.81159420289855
175,Yamhill County,US,44.8
176,Oak Knoll District,US,44.370629370629366
177,Auxey-Duresses,France,44.2
178,Mount Harlan,US,44.14285714285715
179,Aleatico dell'Elba,Italy,44.0
180,Orcia,Italy,43.82352941176471
181,Chehalem Mountains,US,43.74517374517374
182,Sta. Rita Hills,US,43.7324516785351
183,Sonoma Mountain,US,43.61971830985915
184,Gioia del Colle,Italy,43.4
185,Recioto di Soave Classico,Italy,43.33333333333334
186,Colline Teatine,Italy,43.28571428571429
187,Eola-Amity Hills,US,43.177570093457945
188,Conero,Italy,43.14285714285715
189,Chalk Hill,US,43.03669724770642
190,Controguerra,Italy,43.0
191,Tierra del Viños de Zamora,Spain,43.0
192,Alghero,Italy,43.0
193,Colli di Salerno,Italy,42.66666666666666
194,Red Mountain,US,42.6614420062696
195,Green Valley,US,42.516129032258064
196,Bolgheri,Italy,42.270833333333336
197,Coteaux du Layon Beaulieu,France,42.0
198,Saint-Aubin,France,41.844444444444434
199,Niagara Peninsula,Canada,41.796875
200,Santa Cruz Mountains,US,41.768642447418735
201,Franciacorta,Italy,41.757009345794394
202,Bonnezeaux,France,41.75
203,Ribera del Duero,Spain,41.66820809248555
204,Colli Etruria Centrale,Italy,41.66666666666666
205,Terre del Volturno,Italy,41.647058823529406
206,Piccadilly Valley,Australia,41.54545454545455
207,Santenay,France,41.20754716981132
208,Yamhill-Carlton District,US,41.061224489795926
209,Epomeo,Italy,41.0
210,Vino da Tavola,Italy,40.90909090909091
211,Lenswood,Australia,40.9
212,Passito di Pantelleria,Italy,40.85
213,Wrattonbully,Australia,40.78947368421053
214,Anderson Valley,US,40.626506024096386
215,Friuli,Italy,40.615384615384606
216,Passito di Noto,Italy,40.5
217,Savennières-Roche-Aux-Moines,France,40.5
218,Ghemme,Italy,40.5
219,Santa Lucia Highlands,US,40.23480083857442
220,Monthélie,France,40.22222222222222
221,Santa Cruz County,US,40.16666666666666
222,Fara,Italy,40.0
223,Niagara Escarpment,Canada,40.0
224,Malvasia delle Lipari,Italy,40.0
225,San Marino,Italy,40.0
226,Vino de Calidad de Valtiendas,Spain,40.0
227,Var,France,40.0
228,Recioto della Valpolicella Valpantena,Italy,40.0
229,Vin de Pays des Coteaux de L'Ardeche,France,40.0
230,Loazzolo,Italy,40.0
231,Chalone,US,39.9277108433735
232,Chiles Valley,US,39.8235294117647
233,Vino Nobile di Montepulciano,Italy,39.707317073170735
234,Bourgogne Hautes Côtes de Beaune,France,39.66666666666666
235,Ladoix,France,39.285714285714285
236,Côte de Nuits-Villages,France,39.09090909090909
237,Barossa,Australia,39.05438066465257
238,Malibu Coast,US,39.0
239,Vino de la Tierra de Cádiz,Spain,38.857142857142854
240,Toro,Spain,38.84027777777778
241,Walla Walla Valley (WA),US,38.75559237779619
242,Recioto della Valpolicella,Italy,38.57142857142857
243,Veronese,Italy,38.354838709677416
244,Arroyo Grande Valley,US,38.28699551569507
245,Napa-Sonoma,US,38.266666666666666
246,Falerno del Massico,Italy,38.26086956521739
247,Forlì,Italy,38.24137931034483
248,Rockpile,US,38.14492753623188
249,Moscadello di Montalcino,Italy,38.083333333333336
250,Amarone della Valpolicella Valpantena,Italy,38.07692307692308
251,Ballard Canyon,US,38.06666666666667
252,Albemarle County,US,38.0
253,Salina,Italy,37.833333333333336
254,McMinnville,US,37.68965517241379
255,Vino de Mesa,Spain,37.6
256,Etna,Italy,37.59574468085106
257,Russian River Valley,US,37.51908396946565
258,Santa Maria Valley,US,37.44053398058252
259,Fixin,France,37.3
260,Napa County-Sonoma County,US,37.21739130434783
261,Saint-Joseph,France,37.2112676056338
262,Napa-Sonoma-Marin,US,37.0
263,Cortona,Italy,36.91428571428571
264,Marin County,US,36.907407407407405
265,Sonoma Valley,US,36.80497925311203
266,Marsannay,France,36.75
267,Prosecco di Valdobbiadene Superiore,Italy,36.5
268,Barbera del Monferrato Superiore,Italy,36.333333333333336
269,Montepulciano d'Abruzzo Colline Teramane,Italy,36.3125
270,Gigondas,France,36.11666666666667
271,Pouilly-Fuissé,France,36.09722222222222
272,Mercurey,France,36.010309278350526
273,Yarra Valley,Australia,36.00934579439252
274,Lime Kiln Valley,US,36.0
275,Macon-Verge,France,36.0
276,Alexander Valley,US,35.90158172231986
277,York Mountain,US,35.69696969696969
278,Valpolicella Superiore,Italy,35.6271186440678
279,Montilla-Moriles,Spain,35.6
280,Albana di Romagna,Italy,35.57142857142857
281,Moscato di Noto,Italy,35.555555555555564
282,Umbria,Italy,35.31707317073171
